date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:59	8044/8044	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2020:08:43%20GMT	http://cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	C:/Users/Dell/Desktop/Portfolio/Portfolio16/cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	(from http://moya.bitballoon.com/index-circular.html)
14:27:59	1067/1067	---M-Z	200	added ('OK')	application/javascript	etag:%221048069a55417ff5a4de0a909a418a66-ssl-df%22	http://moya.bitballoon.com/js/jquery.counterup.min.js	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/js/jquery.counterup.min.js	(from http://moya.bitballoon.com/index-circular.html)
14:27:59	69707/69707	---M-Z	200	added ('OK')	application/javascript	etag:%229d4100fe401b1a361c3d4e7b47b12c10-ssl-df%22	http://moya.bitballoon.com/js/bootstrap.js	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/js/bootstrap.js	(from http://moya.bitballoon.com/index-circular.html)
14:28:00	84345/84345	---M-Z	200	added ('OK')	application/javascript	etag:%225cefa2bae0e93c3e6872e777ca315599-ssl-df%22	http://moya.bitballoon.com/js/jquery.min.js	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/js/jquery.min.js	(from http://moya.bitballoon.com/index-circular.html)
14:28:00	2532/2532	---M-Z	200	added ('OK')	application/javascript	etag:%22be4e79a32abb4e38b84e2eda0dddc0d7-ssl-df%22	http://moya.bitballoon.com/js/jquery.easing.min.js	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/js/jquery.easing.min.js	(from http://moya.bitballoon.com/index-circular.html)
14:28:00	84265/84265	---M-Z	200	added ('OK')	application/javascript	etag:%222213423d3b2d42d76d91665d72be95c5-ssl-df%22	http://moya.bitballoon.com/js/slick.js	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/js/slick.js	(from http://moya.bitballoon.com/index-circular.html)
14:28:00	12129/12129	---M-Z	200	added ('OK')	application/javascript	etag:%22f6521df195bc65954f0c9454e11989a6-ssl-df%22	http://moya.bitballoon.com/js/typed.js	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/js/typed.js	(from http://moya.bitballoon.com/index-circular.html)
14:28:01	3264/3264	---M-Z	200	added ('OK')	application/javascript	etag:%2261aed32a58406fbe33f81000e2a05cce-ssl-df%22	http://moya.bitballoon.com/js/script.js	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/js/script.js	(from http://moya.bitballoon.com/index-circular.html)
14:28:02	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1506756079-ssl-df	http://moya.bitballoon.com/fonts/glyphicons-halflings-regular.eot	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/glyphicons-halflings-regular.eot	(from http://moya.bitballoon.com/css/bootstrap.css)
14:28:02	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1506756079-ssl-df	http://moya.bitballoon.com/fonts/glyphicons-halflings-regular.eot?	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/fonts/glyphicons-halflings-regulard41d.eot	(from http://moya.bitballoon.com/css/bootstrap.css)
